repetition,initial_radius,initial_eta,size,variable_radius,variable_eta,mult_iterations,similarity,data_initialization,heatmap_mean,u_matrix_mean
0,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.7925270241756797
0,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.2379410021608093
1,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.706009858504892
1,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.171125591824528
2,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.0575649699764624
2,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.0205025873639286
3,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.208654217929412
3,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,0.8431524881440158
4,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.110970794414277
4,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.3174903337865076
5,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.1680380913169206
5,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.0326972505079504
6,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.1220509543844261
6,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.0670284490668915
7,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.9241281945833973
7,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,0.7825779506478261
8,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.1578018171627404
8,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.2561386346370231
9,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.0853112515555816
9,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.2175645768144072
10,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.0967008980498578
10,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.031334655452676
11,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.9562424970010556
11,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,0.9857814852256992
12,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.9136496409910134
12,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,0.7237119313799547
13,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.9418629495977255
