repetition,initial_radius,initial_eta,size,variable_radius,variable_eta,mult_iterations,similarity,data_initialization,heatmap_mean,u_matrix_mean
16,3,0.1,4,True,True,500,EUCLIDEAN,True,1.75,1.1194330773300212
16,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.0900120262629218
16,3,0.1,2,True,True,500,EUCLIDEAN,True,7.0,0.9256082419129585
17,3,0.1,5,True,True,500,EUCLIDEAN,True,1.12,1.5364102475046406
17,3,0.1,4,True,True,500,EUCLIDEAN,True,1.75,1.147047498613757
17,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.7571522054520528
17,3,0.1,2,True,True,500,EUCLIDEAN,True,7.0,0.5887264903269769
18,3,0.1,5,True,True,500,EUCLIDEAN,True,1.12,1.5472266907488652
18,3,0.1,4,True,True,500,EUCLIDEAN,True,1.75,1.2325061560528534
18,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.8733017497226627
18,3,0.1,2,True,True,500,EUCLIDEAN,True,7.0,0.7081246043088778
19,3,0.1,5,True,True,500,EUCLIDEAN,True,1.12,1.3507969468121734
19,3,0.1,4,True,True,500,EUCLIDEAN,True,1.75,1.3863717256093206
19,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.1785541331215696
19,3,0.1,2,True,True,500,EUCLIDEAN,True,7.0,0.7558135811576179
