Epoch,Optimizer,Error
138,GRADIENT_DESCENT,8.342822864638746
139,GRADIENT_DESCENT,8.330992715934245
140,GRADIENT_DESCENT,8.377324782915979
141,GRADIENT_DESCENT,8.41674296670917
142,GRADIENT_DESCENT,8.394403275781986
143,GRADIENT_DESCENT,8.267363958139523
144,GRADIENT_DESCENT,8.504745459706939
145,GRADIENT_DESCENT,8.33585039495114
146,GRADIENT_DESCENT,8.536504628854901
147,GRADIENT_DESCENT,8.027722350897763
148,GRADIENT_DESCENT,8.598849140730733
149,GRADIENT_DESCENT,8.167616382551575
150,GRADIENT_DESCENT,8.674046188364464
151,GRADIENT_DESCENT,8.229766945276978
152,GRADIENT_DESCENT,8.486802711797175
153,GRADIENT_DESCENT,8.295126120155015
154,GRADIENT_DESCENT,8.465084634119778
155,GRADIENT_DESCENT,8.185786832087794
156,GRADIENT_DESCENT,8.35054314512062
157,GRADIENT_DESCENT,8.306866967014395
158,GRADIENT_DESCENT,8.416375912462463
159,GRADIENT_DESCENT,8.240196914905756
160,GRADIENT_DESCENT,8.396920275549467
161,GRADIENT_DESCENT,8.318009502180013
162,GRADIENT_DESCENT,8.406744350869266
163,GRADIENT_DESCENT,8.36998836796011
164,GRADIENT_DESCENT,8.744368810699513
165,GRADIENT_DESCENT,8.76282462823028
166,GRADIENT_DESCENT,8.341286817924415
167,GRADIENT_DESCENT,8.611130829017238
168,GRADIENT_DESCENT,8.28487400604944
169,GRADIENT_DESCENT,8.45719509022449
170,GRADIENT_DESCENT,8.293005200854399
171,GRADIENT_DESCENT,8.441337276771293
172,GRADIENT_DESCENT,8.364127619637511
173,GRADIENT_DESCENT,8.29150038273635
174,GRADIENT_DESCENT,8.425470518675604
175,GRADIENT_DESCENT,8.432172136411879
176,GRADIENT_DESCENT,8.284702275484829
177,GRADIENT_DESCENT,8.381012228555326
178,GRADIENT_DESCENT,8.263287453420903
179,GRADIENT_DESCENT,8.412424932922825
180,GRADIENT_DESCENT,8.521998224584003
181,GRADIENT_DESCENT,8.471070769334137
182,GRADIENT_DESCENT,8.420126317427746
183,GRADIENT_DESCENT,8.373418802262979
184,GRADIENT_DESCENT,8.368475118777834
185,GRADIENT_DESCENT,8.438372198305728
186,GRADIENT_DESCENT,8.438294999018222
187,GRADIENT_DESCENT,8.317535746828002
188,GRADIENT_DESCENT,8.474389394198225
189,GRADIENT_DESCENT,8.25689448505276
190,GRADIENT_DESCENT,8.413406190087041
191,GRADIENT_DESCENT,8.359565358483486
192,GRADIENT_DESCENT,8.425040719865565
193,GRADIENT_DESCENT,8.263797718118058
194,GRADIENT_DESCENT,8.410602333792797
195,GRADIENT_DESCENT,8.300139951842075
196,GRADIENT_DESCENT,8.47502110624312
197,GRADIENT_DESCENT,8.110591440470802
198,GRADIENT_DESCENT,8.636119800817664
199,GRADIENT_DESCENT,7.9975226716035115
200,GRADIENT_DESCENT,9.003099810731324
201,GRADIENT_DESCENT,8.219287091349258
202,GRADIENT_DESCENT,8.477314197691015
203,GRADIENT_DESCENT,8.087806759318878
204,GRADIENT_DESCENT,8.420950431644831
205,GRADIENT_DESCENT,8.28232231611729
206,GRADIENT_DESCENT,8.301092115682836
207,GRADIENT_DESCENT,8.463975341576775
208,GRADIENT_DESCENT,8.56092710629058
209,GRADIENT_DESCENT,8.457762515412009
210,GRADIENT_DESCENT,8.29499284840639
211,GRADIENT_DESCENT,8.09879376810291
