pokemon,status_effect,result,current_iter,max_iter
jolteon,NONE,False,16,30
jolteon,NONE,False,17,30
jolteon,NONE,False,18,30
jolteon,NONE,False,19,30
jolteon,NONE,False,20,30
jolteon,NONE,True,21,30
jolteon,NONE,False,22,30
jolteon,NONE,False,23,30
jolteon,NONE,False,24,30
jolteon,NONE,False,25,30
jolteon,NONE,False,26,30
jolteon,NONE,False,27,30
jolteon,NONE,False,28,30
jolteon,NONE,False,29,30
jolteon,NONE,False,30,30
jolteon,FREEZE,False,1,30
jolteon,FREEZE,False,2,30
jolteon,FREEZE,False,3,30
jolteon,FREEZE,False,4,30
jolteon,FREEZE,False,5,30
jolteon,FREEZE,False,6,30
jolteon,FREEZE,False,7,30
jolteon,FREEZE,False,8,30
jolteon,FREEZE,False,9,30
jolteon,FREEZE,False,10,30
jolteon,FREEZE,False,11,30
jolteon,FREEZE,False,12,30
jolteon,FREEZE,False,13,30
jolteon,FREEZE,False,14,30
jolteon,FREEZE,False,15,30
jolteon,FREEZE,False,16,30
jolteon,FREEZE,False,17,30
jolteon,FREEZE,False,18,30
jolteon,FREEZE,False,19,30
jolteon,FREEZE,False,20,30
jolteon,FREEZE,False,21,30
jolteon,FREEZE,False,22,30
jolteon,FREEZE,False,23,30
jolteon,FREEZE,False,24,30
jolteon,FREEZE,False,25,30
jolteon,FREEZE,False,26,30
jolteon,FREEZE,False,27,30
jolteon,FREEZE,False,28,30
jolteon,FREEZE,False,29,30
jolteon,FREEZE,False,30,30
jolteon,SLEEP,False,1,30
jolteon,SLEEP,False,2,30
jolteon,SLEEP,False,3,30
jolteon,SLEEP,False,4,30
jolteon,SLEEP,False,5,30
jolteon,SLEEP,False,6,30
jolteon,SLEEP,False,7,30
jolteon,SLEEP,False,8,30
jolteon,SLEEP,True,9,30
jolteon,SLEEP,False,10,30
jolteon,SLEEP,False,11,30
jolteon,SLEEP,False,12,30
jolteon,SLEEP,False,13,30
jolteon,SLEEP,False,14,30
jolteon,SLEEP,False,15,30
jolteon,SLEEP,False,16,30
jolteon,SLEEP,False,17,30
jolteon,SLEEP,False,18,30
jolteon,SLEEP,False,19,30
jolteon,SLEEP,False,20,30
jolteon,SLEEP,False,21,30
jolteon,SLEEP,False,22,30
jolteon,SLEEP,False,23,30
jolteon,SLEEP,False,24,30
jolteon,SLEEP,False,25,30
jolteon,SLEEP,True,26,30
jolteon,SLEEP,False,27,30
jolteon,SLEEP,True,28,30
jolteon,SLEEP,True,29,30
jolteon,SLEEP,False,30,30
jolteon,PARALYSIS,False,1,30
jolteon,PARALYSIS,False,2,30
jolteon,PARALYSIS,False,3,30
jolteon,PARALYSIS,False,4,30
jolteon,PARALYSIS,False,5,30
jolteon,PARALYSIS,False,6,30
jolteon,PARALYSIS,False,7,30
jolteon,PARALYSIS,False,8,30
jolteon,PARALYSIS,False,9,30
jolteon,PARALYSIS,False,10,30
jolteon,PARALYSIS,False,11,30
jolteon,PARALYSIS,False,12,30
jolteon,PARALYSIS,False,13,30
jolteon,PARALYSIS,False,14,30
jolteon,PARALYSIS,True,15,30
jolteon,PARALYSIS,False,16,30
jolteon,PARALYSIS,False,17,30
jolteon,PARALYSIS,False,18,30
jolteon,PARALYSIS,False,19,30
jolteon,PARALYSIS,False,20,30
jolteon,PARALYSIS,False,21,30
jolteon,PARALYSIS,True,22,30
jolteon,PARALYSIS,False,23,30
jolteon,PARALYSIS,True,24,30
jolteon,PARALYSIS,True,25,30
jolteon,PARALYSIS,False,26,30
jolteon,PARALYSIS,False,27,30
jolteon,PARALYSIS,False,28,30
jolteon,PARALYSIS,False,29,30
jolteon,PARALYSIS,False,30,30
jolteon,BURN,False,1,30
jolteon,BURN,False,2,30
jolteon,BURN,False,3,30
jolteon,BURN,False,4,30
jolteon,BURN,False,5,30
jolteon,BURN,False,6,30
jolteon,BURN,False,7,30
jolteon,BURN,False,8,30
jolteon,BURN,True,9,30
jolteon,BURN,False,10,30
jolteon,BURN,False,11,30
jolteon,BURN,False,12,30
jolteon,BURN,True,13,30
jolteon,BURN,False,14,30
jolteon,BURN,False,15,30
jolteon,BURN,False,16,30
jolteon,BURN,False,17,30
jolteon,BURN,False,18,30
jolteon,BURN,False,19,30
jolteon,BURN,False,20,30
jolteon,BURN,True,21,30
jolteon,BURN,False,22,30
jolteon,BURN,False,23,30
jolteon,BURN,False,24,30
jolteon,BURN,False,25,30
jolteon,BURN,False,26,30
jolteon,BURN,False,27,30
jolteon,BURN,False,28,30
jolteon,BURN,False,29,30
jolteon,BURN,False,30,30
jolteon,POISON,False,1,30
jolteon,POISON,False,2,30
jolteon,POISON,False,3,30
jolteon,POISON,False,4,30
