name,current_hp,capture_rate
jolteon,0.0,0.20811170626803804
jolteon,0.0,0.15580776770331858
jolteon,0.0,0.18362143881914758
jolteon,0.0,0.14926720154541478
jolteon,0.0,0.15584533975652964
jolteon,0.0,0.18674757722038615
jolteon,0.0,0.15834730932350088
jolteon,0.0,0.1955583936750239
jolteon,0.0,0.2074625056795191
jolteon,0.0,0.17460502938671751
jolteon,0.04,0.1666153497503112
jolteon,0.04,0.1698393642246772
jolteon,0.04,0.17686328064187976
jolteon,0.04,0.2040039574815159
jolteon,0.04,0.16984468981202658
jolteon,0.04,0.1424336016523381
jolteon,0.04,0.15566511184955742
jolteon,0.04,0.12984651900692837
jolteon,0.04,0.17863081261930808
jolteon,0.04,0.15835399826441704
jolteon,0.08,0.14423143833567412
jolteon,0.08,0.13481979593063564
jolteon,0.08,0.19171413165418624
jolteon,0.08,0.1682686280772988
jolteon,0.08,0.16546086614844666
jolteon,0.08,0.1252471881836509
jolteon,0.08,0.1603483068532674
jolteon,0.08,0.15423147737833362
jolteon,0.08,0.15055203011158272
jolteon,0.08,0.17122522411047228
jolteon,0.12,0.16643584702775766
jolteon,0.12,0.15646700455470258
jolteon,0.12,0.1624540074165568
jolteon,0.12,0.21399327231691906
jolteon,0.12,0.16352843392858105
jolteon,0.12,0.17289286088929323
jolteon,0.12,0.19705509869797155
jolteon,0.12,0.13790771127385926
jolteon,0.12,0.17067353949100714
jolteon,0.12,0.16165240347832505
jolteon,0.16,0.14568669214770377
jolteon,0.16,0.19974012955407613
jolteon,0.16,0.21434404447454064
jolteon,0.16,0.16668470526484536
jolteon,0.16,0.17616358617313427
jolteon,0.16,0.15796795710419073
jolteon,0.16,0.20757034917813366
jolteon,0.16,0.14068728183921278
jolteon,0.16,0.18607043140978866
jolteon,0.16,0.18823084800544898
jolteon,0.2,0.15070788622973239
jolteon,0.2,0.17291268163954845
jolteon,0.2,0.1682583287201686
jolteon,0.2,0.21331312177969192
jolteon,0.2,0.16211772725315982
jolteon,0.2,0.14414044734807327
jolteon,0.2,0.16471094918436896
jolteon,0.2,0.14156930374998325
jolteon,0.2,0.18155984325179328
jolteon,0.2,0.10844903563332343
jolteon,0.24,0.15306052501169526
jolteon,0.24,0.20460387529123847
jolteon,0.24,0.18218188299234306
jolteon,0.24,0.14658988077731314
jolteon,0.24,0.16085696331273014
jolteon,0.24,0.16601980546349582
jolteon,0.24,0.14293941804734756
jolteon,0.24,0.12421386978793822
jolteon,0.24,0.13126931130619832
jolteon,0.24,0.1113835679039224
jolteon,0.28,0.1427493763266548
jolteon,0.28,0.1482687169405869
jolteon,0.28,0.1397445905810426
jolteon,0.28,0.15110208481203746
jolteon,0.28,0.18770779414831223
jolteon,0.28,0.1401918292908833
jolteon,0.28,0.16255854675875644
jolteon,0.28,0.1087293208444927
jolteon,0.28,0.14647035060429547
jolteon,0.28,0.1698795390096483
jolteon,0.32,0.1299290453118996
jolteon,0.32,0.12114067298260232
jolteon,0.32,0.15197909794579956
jolteon,0.32,0.1307908215762624
jolteon,0.32,0.11869786415766359
jolteon,0.32,0.15345979939458784
jolteon,0.32,0.10533502719576276
jolteon,0.32,0.12848768340604486
jolteon,0.32,0.14123429024416964
jolteon,0.32,0.19188415852673174
jolteon,0.36,0.13798565896474235
jolteon,0.36,0.11686441725207969
jolteon,0.36,0.09846024473773629
jolteon,0.36,0.14893744011612858
jolteon,0.36,0.12921830968744263
jolteon,0.36,0.17873678318081937
jolteon,0.36,0.12493909363878007
jolteon,0.36,0.16227429112185993
jolteon,0.36,0.12532613493507838
jolteon,0.36,0.1335258168270039
jolteon,0.4,0.11667283513100958
jolteon,0.4,0.15396352659224424
jolteon,0.4,0.12596328308090368
jolteon,0.4,0.12439101965277903
jolteon,0.4,0.15050520094801495
jolteon,0.4,0.10804887392155337
jolteon,0.4,0.11371005346989836
jolteon,0.4,0.1471771649944802
jolteon,0.4,0.12441089020966567
jolteon,0.4,0.12883964018732913
jolteon,0.44,0.1430479551883675
jolteon,0.44,0.14042483642326115
jolteon,0.44,0.09578744047688866
jolteon,0.44,0.1379778137863172
jolteon,0.44,0.1723457623623692
jolteon,0.44,0.14611383887068552
jolteon,0.44,0.13749072610823024
jolteon,0.44,0.10112161610891525
jolteon,0.44,0.13983061182112064
jolteon,0.44,0.13923252114234477
jolteon,0.48,0.11315963172177121
jolteon,0.48,0.1336776199444574
jolteon,0.48,0.11068951360746743
jolteon,0.48,0.11781817248513839
jolteon,0.48,0.15278792270525005
jolteon,0.48,0.11909091106301148
jolteon,0.48,0.10543802472423265
jolteon,0.48,0.13614423438495218
jolteon,0.48,0.12963062023660946
jolteon,0.48,0.11015565829553624
jolteon,0.52,0.08859464914281343
jolteon,0.52,0.10785069400881626
jolteon,0.52,0.10692675272130218
jolteon,0.52,0.08442390614798395
jolteon,0.52,0.1067749865578067
jolteon,0.52,0.13767213054529848
jolteon,0.52,0.13142778245185563
jolteon,0.52,0.12223300019451201
jolteon,0.52,0.12054101896446642
jolteon,0.52,0.10896902407443114
jolteon,0.56,0.12779654144330552
jolteon,0.56,0.09524806392934651
jolteon,0.56,0.0760873082326984
jolteon,0.56,0.10666520254093446
jolteon,0.56,0.15037074000938463
jolteon,0.56,0.13071543041524553
jolteon,0.56,0.09805289981172545
jolteon,0.56,0.13608095876016177
jolteon,0.56,0.10349173484594176
jolteon,0.56,0.0667641504352941
jolteon,0.6,0.09370587525554304
jolteon,0.6,0.10594775774708401
jolteon,0.6,0.10544481669502934
jolteon,0.6,0.10866382537250904
jolteon,0.6,0.11885492144132569
jolteon,0.6,0.08807571099441251
jolteon,0.6,0.08574826149887656
jolteon,0.6,0.11676194146505631
jolteon,0.6,0.07857519920847056
jolteon,0.6,0.09315531510044912
jolteon,0.64,0.13320409268999092
jolteon,0.64,0.09650456914911838
jolteon,0.64,0.12213590407264227
jolteon,0.64,0.12284790561108314
jolteon,0.64,0.13243308619459357
jolteon,0.64,0.0752622801560469
jolteon,0.64,0.09500327497588353
jolteon,0.64,0.09856684357937341
jolteon,0.64,0.12043678187896399
jolteon,0.64,0.10458828353357986
jolteon,0.68,0.10031009873497669
jolteon,0.68,0.09466111334172429
jolteon,0.68,0.09361421350609103
jolteon,0.68,0.08219470200959127
jolteon,0.68,0.09842057248796188
jolteon,0.68,0.09896666806063889
jolteon,0.68,0.09373943906874994
jolteon,0.68,0.1169238558404498
jolteon,0.68,0.07124467893646587
jolteon,0.68,0.11873867469571821
jolteon,0.72,0.09756475026270768
jolteon,0.72,0.1233963111529867
jolteon,0.72,0.10425825140025952
jolteon,0.72,0.0760316624167823
jolteon,0.72,0.09210745699984467
jolteon,0.72,0.10637976595545884
jolteon,0.72,0.11909868990594859
jolteon,0.72,0.07911644049154845
jolteon,0.72,0.08802360114514536
jolteon,0.72,0.10377558790453911
jolteon,0.76,0.0839759393341327
jolteon,0.76,0.09609833269683124
jolteon,0.76,0.09203899793771367
jolteon,0.76,0.09645849432232798
jolteon,0.76,0.10010257090765852
jolteon,0.76,0.10214015160470659
jolteon,0.76,0.06993733856589664
jolteon,0.76,0.09113776462835416
jolteon,0.76,0.08371447996344653
jolteon,0.76,0.09801489163787959
jolteon,0.8,0.08374370541878422
jolteon,0.8,0.08625444685979491
jolteon,0.8,0.09046159414738976
