caterpie,pokeball,0.33001708238024074
caterpie,ultraball,0.6552405701688572
caterpie,fastball,0.334356803788025
caterpie,heavyball,0.3025304921591939
jolteon,pokeball,0.05823716121629318
jolteon,ultraball,0.1164488149578938
jolteon,fastball,0.23293877549500405
jolteon,heavyball,0.032727246496800436
snorlax,pokeball,0.032244549357885066
snorlax,ultraball,0.06446773895665889
snorlax,fastball,0.032491733040217415
snorlax,heavyball,0.08585883207488161
onix,pokeball,0.059428609773111186
onix,ultraball,0.11856316682992508
onix,fastball,0.059200883116216844
onix,heavyball,0.0856401241878663
mewtwo,pokeball,0.003976101912121165
mewtwo,ultraball,0.0077395219040706405
mewtwo,fastball,0.015881142311655303
mewtwo,heavyball,0.001278323269993657
