height,agility_items,agility_calculated,strength_items,strength_calculated,resistance_items,resistance_calculated,expertise_items,expertise_calculated,life_items,life_calculated
1.3372728407505763,0.0810111032295926,0.0008101108550761143,0.0032424541823698402,0.0032424541812335213,73.25137551149443,0.6246008305773005,0.007227221360048842,4.336332808479356e-05,76.65714370973356,64.49313778745406
1.3470744737351255,0.009204165263520638,9.2041652375291e-05,0.01229750619197268,0.012297506129981504,72.06584490113619,0.6173169956160385,0.0003572007696179518,2.1432046176985953e-06,77.91229622663869,65.22030209399274
1.346929510505688,0.09406359085221845,0.0009406356310986806,0.003780189613811589,0.003780189612010979,67.7539436087305,0.5899174426462583,0.0004236486890013243,2.541892133992738e-06,82.14778896211446,67.58734592788686
1.6394502312723431,0.02026612266367342,0.00020266122386219582,0.007686334984495645,0.007686334969358755,72.60389822304985,0.62063605749159,0.005816105616928745,3.489663366222409e-05,77.36233321368505,64.9031417601946
1.6644328555037462,0.02563850462985586,0.00025638504068088106,0.006091264510670105,0.006091264503136531,73.37872327967276,0.6253768735575042,0.006996568516388129,4.197941102982961e-05,76.58255038267033,64.44954958529904
1.3592431103545237,0.004181015179508142,4.1810151770718796e-05,0.003814779181179411,0.0038147791793289197,63.1691072210268,0.5592155512579803,0.004216789884150887,2.5300739289909308e-05,86.81868019472837,70.04517195077163
1.5897027065962228,0.010074855211679662,0.0001007485517759216,0.0022814526864801832,0.0022814526860843493,70.60039922972896,0.608164924696216,0.0004842846789376443,2.9057080736031497e-06,79.38676017769394,66.05944468860294
1.625339839391358,0.007438397227150327,7.438397213431506e-05,0.0017674543218498691,0.0017674543216658243,85.22610951829377,0.6922488730197511,0.0046697911953759415,2.8018747151888873e-05,64.76001483896185,57.00521853353242
1.628919917090439,0.1672272321905321,0.0016722707630734926,0.005122728686532348,0.005122728682051267,85.46190191615909,0.6934748563721114,0.01171176722957779,7.027060305617668e-05,64.35403635573425,56.73053241878895
1.69655573381919,0.009885822693860017,9.885822661655471e-05,0.016438196926015107,0.0164381967779539,80.95178257338563,0.6693241828381371,0.00033475645994213615,2.008538759645314e-06,69.02155865053454,59.81204791941943
1.7032131481095714,0.009359943092496449,9.359943065162753e-05,0.005015773479209877,0.005015773475003651,70.51350658132193,0.6076170939738281,0.0003986140358435035,2.3916842150483536e-06,79.47171908807053,66.10730193227965
1.3465390005293276,0.3063641155072762,0.0030636315701018423,0.006531474746106788,0.006531474736818996,96.51256007711328,0.746554442962404,0.0004950645604266022,2.970387362535346e-06,53.17404926807292,48.67104079031258
1.3693849489834116,0.00444686010113891,4.446860098207753e-05,0.007527382829002885,0.007527382814785794,65.12253842393982,0.5724943088512848,0.007031820210717495,4.21909211947652e-05,84.85845551291933,69.03292853618927
1.7092695453790137,0.017085048226306663,0.0001708504806006979,0.013075075748484528,0.013075075673975072,80.42479525758236,0.6664049158060467,0.0006520777276653111,3.912466365936413e-06,69.54439254071515,60.14678912980875
1.6977068895473009,0.13691741045924538,0.0013691732490246173,0.004150519472593614,0.004150519470210273,65.76573310021793,0.5768022643873109,0.16068876592499698,0.0009641317657257867,83.93251020392525,68.54514262950498
1.3790122769300468,0.005450789751302364,5.450789745904064e-05,0.056213036100753296,0.05621303017982479,73.62450598425127,0.6268711538822093,0.2878285732753329,0.0017269666706196147,76.02600161662133,64.12300904647047
1.7019992697439021,0.1424991144433232,0.0014249901799051226,0.0047123377515744785,0.004712337748086386,65.68300737151253,0.5762499728970899,0.005196548659168954,3.1179291926948083e-05,84.16458462763339,68.66798272775996
1.7061450332449226,0.005929723743405128,5.929723736455171e-05,0.004512789590734673,0.0045127895876712,64.1379805334389,0.5658383141094643,0.004051995893732349,2.4311975349088412e-05,85.84752495733322,69.54712484884243
1.3838009123186508,0.007856344071314027,7.856344055150347e-05,0.009572614175946606,0.009572614146707075,69.22683591017184,0.5994372576815937,0.017404646941568146,0.00010442788059495973,80.73833048463935,66.81442323532707
1.725590281849688,0.1710221213645446,0.0017102195462634622,0.008677261142152308,0.008677261120373867,81.55120801136461,0.67261978031977,0.3734875119029524,0.002240914651703014,67.89560509422574,59.08403000277258
1.3877474211138556,0.09621994434099582,0.0009621991464664135,0.0019945644077054947,0.0019945644074409966,69.92676754251181,0.6039027359757742,0.08346336927734355,0.0005007800993806906,79.89155457946215,66.3430063878131
1.553625443637052,0.21508643020158985,0.0021508609852335272,0.0034923001346426064,0.0034923001332228514,63.00336856637984,0.5580754103213258,0.0005278992830418763,3.1673956982218343e-06,86.77752480400088,70.02420269316802
1.521858254166787,0.13848363939773448,0.0013848355087112782,0.03441232898257085,0.03441232762419196,71.72350347229929,0.6151936980420448,0.0003887384419144333,2.3324306514748507e-06,78.1032118208785,65.32987159035024
1.3942413815680965,0.16817182042356088,0.0016817166188389813,0.004272452815203015,0.0042724528126033895,73.40163954495935,0.6255163915626759,0.14206517075250252,0.0008523904510690544,76.28385101104938,64.27458599638534
1.526298037246462,0.2642756916787826,0.0026427507643223343,0.003996611341211958,0.003996611339084042,81.32363861336748,0.6713717416331831,0.20006840765452455,0.0012004088442873662,68.20802067595801,59.287008389428394
1.3928763848363022,0.002348599706558464,2.348599706126641e-05,0.0014164239207347803,0.0014164239206400566,68.50360757689194,0.5947836209703065,0.0010423593979084595,6.254156387224249e-06,81.49158504008287,67.22931643388415
1.5160661177972161,0.005306974801008883,5.306974796026699e-05,0.003922415665395541,0.0039224156633839505,69.38180140597387,0.6004291606382913,0.007021682995967574,4.213009790656599e-05,80.60194752056377,66.73885509261045
