Epoch,Error
0,28
1,28
2,26
3,27
4,24
5,22
6,24
7,23
8,23
9,23
10,19
11,21
12,21
13,19
14,22
15,22
16,20
17,22
18,22
19,24
20,19
21,18
22,18
23,22
24,22
25,21
26,19
27,20
28,19
29,20
30,19
31,19
32,21
33,20
34,19
35,22
36,21
37,22
38,17
39,19
40,24
41,20
42,17
43,22
44,18
45,20
46,18
47,16
48,18
49,21
50,17
51,22
52,21
53,18
54,18
55,18
56,19
57,18
58,17
59,22
60,21
61,18
62,19
63,18
64,20
65,19
66,19
67,19
68,16
69,19
70,19
71,19
72,20
73,17
74,19
75,20
76,20
77,16
78,18
79,20
80,19
81,21
82,19
83,18
84,17
85,21
86,16
87,18
88,21
89,18
90,17
91,21
92,19
93,20
94,18
95,20
96,19
97,16
98,20
99,19
100,19
101,21
102,19
103,19
104,16
105,20
106,20
107,20
108,17
109,22
110,18
111,20
112,22
113,17
114,19
115,20
116,22
117,20
118,21
119,18
120,18
121,17
122,21
123,18
124,18
125,19
126,19
127,18
128,16
129,22
130,18
131,21
132,17
133,17
134,18
135,18
136,18
137,17
138,19
139,18
140,17
141,17
142,18
143,19
144,19
145,20
146,15
147,17
148,17
149,17
150,18
151,19
152,17
153,18
154,20
155,17
156,16
157,17
158,18
159,18
160,17
161,17
162,18
163,18
164,19
165,18
166,17
167,17
168,16
169,14
170,15
171,16
172,18
173,16
174,17
175,18
176,16
177,18
178,18
179,18
180,18
181,18
182,17
183,16
184,20
185,20
186,19
187,16
188,16
189,17
190,17
191,17
192,18
193,17
194,17
195,17
196,17
197,17
198,19
199,18
200,16
201,18
202,19
203,15
204,19
205,20
206,18
207,16
208,18
209,16
210,16
211,20
212,18
213,16
214,16
215,16
216,16
217,19
218,19
219,19
220,18
221,15
222,16
223,19
224,17
225,15
226,18
227,16
228,15
229,17
230,16
231,17
232,15
233,17
234,16
235,16
236,16
237,17
238,18
239,16
240,18
241,18
242,16
243,17
244,14
245,17
246,16
247,14
248,15
249,17
250,17
251,17
252,15
253,16
254,18
255,17
256,15
257,16
258,16
259,18
260,16
261,14
262,17
263,18
264,15
265,17
266,17
267,16
268,14
269,16
270,17
271,17
272,14
273,15
274,17
275,15
276,15
277,16
278,13
279,15
280,14
281,15
282,13
283,15
284,15
285,13
286,16
287,16
288,16
289,13
290,16
291,14
292,13
293,15
294,16
295,13
296,12
297,14
298,15
299,13
300,14
301,15
302,15
303,16
304,16
305,15
306,16
307,12
308,15
309,16
310,17
311,15
312,16
313,14
314,15
315,16
316,18
317,13
318,14
319,17
320,16
321,17
322,17
323,15
324,15
325,17
326,16
327,16
328,16
329,17
330,16
331,15
332,14
333,14
334,14
335,15
336,17
337,15
338,14
339,15
340,15
341,13
342,15
343,14
344,16
345,17
346,17
347,17
348,16
349,15
350,14
351,15
352,18
353,17
354,16
355,17
356,17
357,16
358,16
359,16
360,15
361,15
362,17
363,17
364,15
365,17
366,17
367,16
368,16
369,16
370,16
371,16
372,17
373,15
374,16
375,16
376,15
377,16
378,16
379,17
380,16
381,17
382,17
