Epoch,Error
383,15
384,15
385,16
386,16
387,15
388,15
389,16
390,18
391,16
392,16
393,15
394,12
395,14
396,14
397,13
398,13
399,14
400,15
401,15
402,15
403,14
404,15
405,16
406,16
407,15
408,14
409,15
410,15
411,16
412,14
413,15
414,15
415,14
416,15
417,16
418,11
419,14
420,17
421,16
422,13
423,14
424,15
425,15
426,15
427,15
428,15
429,14
430,14
431,13
432,13
433,14
434,14
435,14
436,15
437,16
438,17
439,16
440,16
441,14
442,18
443,17
444,15
445,16
446,15
447,15
448,13
449,14
450,14
451,16
452,14
453,15
454,17
455,16
456,13
457,13
458,14
459,14
460,15
461,13
462,13
463,15
464,17
465,14
466,15
467,16
468,13
469,17
470,15
471,16
472,14
473,15
474,17
475,15
476,16
477,16
478,15
479,16
480,17
481,17
482,17
483,14
484,14
485,15
486,13
487,11
488,14
489,16
490,14
491,14
492,16
493,14
494,15
495,15
496,15
497,16
498,15
499,15
500,16
501,14
502,13
503,11
504,13
505,11
506,12
507,13
508,14
509,15
510,16
511,13
512,13
513,14
514,14
515,14
516,16
517,14
518,13
519,14
520,13
521,13
522,15
523,14
524,13
525,13
526,13
527,14
528,11
529,12
530,13
531,13
532,12
533,12
534,13
535,14
536,11
537,12
538,14
539,17
540,18
541,13
542,13
543,15
544,14
545,13
546,12
547,13
548,14
549,13
550,11
551,13
552,11
553,13
554,13
555,12
556,12
557,13
558,11
559,13
560,13
561,14
562,14
563,13
564,13
565,13
566,13
567,13
568,13
569,14
570,12
571,11
572,12
573,15
574,10
575,11
576,12
577,13
578,11
579,13
580,12
581,14
582,11
583,12
584,13
585,14
586,11
587,13
588,13
589,13
590,13
591,13
592,13
593,14
594,13
595,10
596,10
597,12
598,12
599,13
600,13
601,13
602,12
603,14
604,15
605,15
606,14
607,16
608,16
609,13
610,14
611,15
612,13
613,12
614,13
615,13
616,11
617,12
618,14
619,11
620,11
621,12
622,9
623,11
624,10
625,9
626,10
627,13
628,13
629,12
630,10
631,11
632,10
633,11
634,12
635,11
636,11
637,10
638,9
639,10
640,10
641,9
642,9
643,11
644,10
645,10
646,10
647,11
648,10
649,12
650,9
651,10
652,10
653,9
654,11
655,10
656,9
657,10
658,10
659,11
660,11
661,11
662,12
663,14
664,12
665,13
666,12
667,12
668,11
669,12
670,11
671,10
672,11
673,10
674,11
675,11
676,10
677,10
678,11
679,9
680,9
681,12
682,9
683,10
684,8
685,8
686,8
687,8
688,10
689,9
690,10
691,9
692,9
693,8
694,8
695,9
696,10
697,10
698,9
699,9
700,9
701,10
702,9
703,8
704,8
705,9
706,10
707,8
708,8
709,10
710,11
711,11
712,10
713,8
714,9
715,8
716,8
717,9
718,7
719,11
720,9
721,9
722,9
723,8
724,8
725,8
726,9
727,11
728,8
729,9
730,11
731,9
732,11
733,11
734,9
735,9
736,12
737,9
738,9
739,9
740,10
741,8
742,9
743,8
744,9
745,9
746,9
747,11
748,8
749,9
750,13
751,11
752,10
753,12
754,10
755,9
756,11
757,8
758,11
759,12
760,8
761,8
762,10
763,8
764,12
765,10
766,9
767,9
768,11
769,8
770,9
771,14
772,11
773,9
774,9
775,9
776,11
777,9
778,9
779,9
780,8
781,9
782,7
783,7
784,7
785,7
786,8
787,8
788,8
789,10
790,8
791,9
792,10
793,9
794,10
795,9
796,11
797,9
798,11
799,8
800,8
801,7
802,7
803,6
804,8
805,8
806,8
807,10
808,10
809,9
810,8
811,13
812,8
813,8
814,9
815,8
816,8
817,8
818,8
819,7
820,8
821,11
822,8
823,9
824,8
825,8
826,8
827,8
828,7
829,8
830,7
831,8
832,7
833,8
834,8
835,7
836,8
837,7
838,7
839,8
840,8
841,7
842,8
843,8
844,8
845,7
846,6
847,12
848,8
849,9
850,10
851,10
852,8
853,9
854,11
855,13
856,10
857,12
858,8
859,12
860,9
861,11
862,7
863,8
864,7
865,6
866,6
867,7
868,7
869,7
870,7
871,9
872,7
873,6
874,7
875,7
876,7
877,6
878,9
879,6
880,8
881,7
882,6
883,7
884,6
885,9
886,7
887,7
888,8
889,7
890,8
891,8
892,7
893,9
894,7
895,7
896,8
897,7
898,7
899,8
900,7
901,7
902,7
903,8
904,9
905,8
906,8
907,7
908,10
909,8
910,10
911,11
912,8
913,10
914,8
915,10
916,10
917,8
918,10
919,7
920,9
921,7
922,7
923,8
924,7
925,11
926,6
927,7
928,6
929,9
930,7
931,7
932,6
933,7
934,7
935,6
936,8
937,5
938,7
939,7
940,6
941,6
942,6
943,6
944,7
945,6
946,7
947,9
948,7
949,6
950,7
951,6
952,6
953,6
954,7
955,6
956,6
957,6
958,7
959,7
960,6
961,9
962,7
963,7
964,6
965,9
966,9
967,7
968,6
969,7
970,7
971,6
972,6
973,6
974,7
975,6
976,7
977,6
978,8
979,6
980,9
981,6
982,7
983,9
984,7
985,8
986,7
987,7
988,6
989,5
990,7
991,6
992,7
993,8
994,9
995,7
996,7
997,9
998,9
999,9
1000,6
1001,8
1002,5
1003,6
1004,6
1005,5
1006,5
1007,6
1008,6
1009,7
1010,7
1011,5
1012,6
1013,7
1014,7
1015,8
1016,6
1017,9
1018,7
1019,7
1020,9
1021,7
1022,5
1023,7
1024,6
1025,6
1026,6
1027,7
1028,6
1029,6
1030,6
1031,6
1032,9
1033,8
1034,7
1035,9
1036,5
1037,6
1038,6
1039,6
1040,6
1041,7
1042,6
1043,6
1044,6
1045,6
1046,6
1047,5
1048,6
1049,6
1050,7
1051,6
1052,7
1053,7
1054,6
1055,9
1056,7
1057,5
1058,6
1059,7
1060,6
1061,7
1062,7
1063,6
1064,6
1065,5
1066,8
1067,6
1068,5
1069,7
1070,7
1071,8
1072,8
1073,7
1074,7
1075,6
1076,5
1077,6
1078,5
1079,5
1080,8
1081,7
1082,6
1083,7
1084,7
1085,7
1086,6
1087,6
1088,6
1089,6
1090,6
1091,6
1092,7
1093,6
1094,6
1095,5
1096,6
1097,6
1098,5
1099,5
1100,6
1101,5
1102,5
1103,5
1104,6
1105,5
1106,5
1107,5
1108,6
1109,6
1110,7
1111,5
1112,6
1113,8
1114,7
1115,6
1116,7
1117,8
1118,6
1119,9
1120,8
1121,6
1122,6
1123,7
1124,6
1125,6
1126,7
1127,5
1128,10
1129,6
1130,9
1131,6
1132,7
1133,6
1134,5
1135,6
1136,10
1137,6
1138,6
1139,6
1140,6
1141,6
1142,6
1143,8
1144,7
1145,5
1146,5
1147,5
1148,6
1149,6
1150,5
1151,6
1152,5
1153,5
1154,5
1155,5
1156,6
1157,6
1158,6
1159,7
1160,6
1161,6
1162,10
1163,7
1164,6
1165,6
1166,8
1167,6
1168,5
1169,6
1170,5
1171,6
1172,6
1173,10
1174,6
1175,8
1176,7
1177,5
1178,6
1179,5
1180,5
1181,5
1182,6
1183,6
1184,5
1185,5
1186,5
1187,5
1188,6
1189,6
1190,5
1191,5
1192,6
1193,5
1194,4
1195,4
1196,5
1197,6
1198,5
1199,5
1200,7
1201,4
1202,6
1203,7
1204,5
1205,5
1206,6
1207,6
1208,6
1209,5
1210,5
1211,5
1212,5
1213,6
1214,5
1215,6
1216,5
1217,6
1218,5
1219,6
1220,5
1221,7
1222,6
1223,5
1224,5
1225,6
1226,5
1227,5
1228,5
1229,6
1230,5
1231,6
1232,6
1233,5
1234,5
1235,5
1236,6
1237,5
1238,4
1239,5
1240,4
1241,7
1242,5
1243,7
1244,5
1245,6
1246,5
1247,5
1248,6
1249,8
1250,4
1251,5
1252,5
1253,5
1254,6
1255,6
1256,5
1257,5
1258,5
1259,6
1260,5
1261,5
1262,6
1263,4
1264,6
1265,6
1266,5
1267,6
1268,9
1269,5
1270,6
1271,5
1272,5
1273,6
1274,7
1275,8
1276,6
1277,4
1278,5
1279,5
1280,5
1281,4
1282,6
1283,6
1284,5
1285,5
1286,6
1287,5
1288,5
1289,6
1290,6
1291,4
1292,5
1293,8
1294,6
1295,6
1296,5
1297,5
1298,5
1299,5
1300,5
1301,5
1302,5
1303,5
1304,5
1305,5
1306,6
1307,6
1308,5
1309,5
1310,5
1311,6
1312,5
1313,6
1314,5
1315,6
1316,5
1317,5
1318,5
1319,5
1320,6
1321,5
1322,5
1323,5
1324,6
1325,5
1326,4
1327,6
1328,6
1329,5
1330,5
1331,5
1332,5
1333,6
1334,6
1335,5
1336,6
1337,7
1338,6
1339,5
1340,5
1341,5
1342,5
1343,4
1344,5
1345,11
1346,5
1347,5
1348,6
1349,6
1350,6
1351,6
1352,7
1353,6
1354,4
1355,6
1356,6
1357,5
1358,6
1359,5
1360,5
1361,5
1362,6
1363,5
1364,5
1365,4
1366,5
1367,6
1368,6
1369,5
1370,6
1371,5
1372,6
1373,5
1374,4
1375,4
1376,6
1377,6
1378,5
1379,4
1380,4
1381,6
1382,4
1383,4
1384,5
1385,4
1386,5
1387,5
1388,4
1389,5
1390,4
1391,7
1392,4
1393,6
1394,5
1395,4
1396,5
1397,4
1398,4
1399,5
1400,6
1401,4
1402,4
1403,5
1404,4
1405,5
1406,6
1407,4
1408,5
1409,8
1410,8
1411,5
1412,3
