Epoch,Error,Optimizer,Architecture
0,6.980202372337279,ADAM,"[35, 30, 20, 10, 5, 2]"
1,6.374131306166107,ADAM,"[35, 30, 20, 10, 5, 2]"
2,5.696981689586107,ADAM,"[35, 30, 20, 10, 5, 2]"
3,5.428743007329595,ADAM,"[35, 30, 20, 10, 5, 2]"
4,4.907135199432217,ADAM,"[35, 30, 20, 10, 5, 2]"
5,4.503997219213272,ADAM,"[35, 30, 20, 10, 5, 2]"
6,4.66385035094801,ADAM,"[35, 30, 20, 10, 5, 2]"
7,4.6959070499240045,ADAM,"[35, 30, 20, 10, 5, 2]"
8,4.38785177235299,ADAM,"[35, 30, 20, 10, 5, 2]"
9,4.011700347907383,ADAM,"[35, 30, 20, 10, 5, 2]"
10,3.79094710551729,ADAM,"[35, 30, 20, 10, 5, 2]"
11,3.7999602690247416,ADAM,"[35, 30, 20, 10, 5, 2]"
12,4.000181179997762,ADAM,"[35, 30, 20, 10, 5, 2]"
13,4.00670816464582,ADAM,"[35, 30, 20, 10, 5, 2]"
14,3.8858872890725875,ADAM,"[35, 30, 20, 10, 5, 2]"
15,3.780519269567094,ADAM,"[35, 30, 20, 10, 5, 2]"
16,4.463049779468789,ADAM,"[35, 30, 20, 10, 5, 2]"
17,3.8079101745864925,ADAM,"[35, 30, 20, 10, 5, 2]"
18,3.6732355430025105,ADAM,"[35, 30, 20, 10, 5, 2]"
19,3.8721780115243583,ADAM,"[35, 30, 20, 10, 5, 2]"
20,3.639339699935652,ADAM,"[35, 30, 20, 10, 5, 2]"
21,4.113929885088454,ADAM,"[35, 30, 20, 10, 5, 2]"
22,3.9611282429896466,ADAM,"[35, 30, 20, 10, 5, 2]"
23,3.932567740629451,ADAM,"[35, 30, 20, 10, 5, 2]"
24,3.9617877136417747,ADAM,"[35, 30, 20, 10, 5, 2]"
25,3.890413985266279,ADAM,"[35, 30, 20, 10, 5, 2]"
26,3.7755386746577604,ADAM,"[35, 30, 20, 10, 5, 2]"
27,3.6537259516716993,ADAM,"[35, 30, 20, 10, 5, 2]"
28,4.059789544425767,ADAM,"[35, 30, 20, 10, 5, 2]"
29,4.195506032292187,ADAM,"[35, 30, 20, 10, 5, 2]"
30,3.951771592889214,ADAM,"[35, 30, 20, 10, 5, 2]"
31,3.7069197953048674,ADAM,"[35, 30, 20, 10, 5, 2]"
