Epoch,Error,Optimizer,Architecture
0,26,ADAM,"[35, 30, 20, 10, 5, 2]"
1,22,ADAM,"[35, 30, 20, 10, 5, 2]"
2,24,ADAM,"[35, 30, 20, 10, 5, 2]"
3,23,ADAM,"[35, 30, 20, 10, 5, 2]"
4,24,ADAM,"[35, 30, 20, 10, 5, 2]"
5,24,ADAM,"[35, 30, 20, 10, 5, 2]"
6,20,ADAM,"[35, 30, 20, 10, 5, 2]"
7,22,ADAM,"[35, 30, 20, 10, 5, 2]"
8,24,ADAM,"[35, 30, 20, 10, 5, 2]"
9,22,ADAM,"[35, 30, 20, 10, 5, 2]"
10,21,ADAM,"[35, 30, 20, 10, 5, 2]"
11,23,ADAM,"[35, 30, 20, 10, 5, 2]"
12,22,ADAM,"[35, 30, 20, 10, 5, 2]"
13,19,ADAM,"[35, 30, 20, 10, 5, 2]"
14,26,ADAM,"[35, 30, 20, 10, 5, 2]"
15,22,ADAM,"[35, 30, 20, 10, 5, 2]"
16,21,ADAM,"[35, 30, 20, 10, 5, 2]"
17,22,ADAM,"[35, 30, 20, 10, 5, 2]"
18,28,ADAM,"[35, 30, 20, 10, 5, 2]"
19,21,ADAM,"[35, 30, 20, 10, 5, 2]"
20,21,ADAM,"[35, 30, 20, 10, 5, 2]"
21,27,ADAM,"[35, 30, 20, 10, 5, 2]"
22,20,ADAM,"[35, 30, 20, 10, 5, 2]"
23,19,ADAM,"[35, 30, 20, 10, 5, 2]"
24,25,ADAM,"[35, 30, 20, 10, 5, 2]"
25,24,ADAM,"[35, 30, 20, 10, 5, 2]"
26,21,ADAM,"[35, 30, 20, 10, 5, 2]"
27,25,ADAM,"[35, 30, 20, 10, 5, 2]"
28,25,ADAM,"[35, 30, 20, 10, 5, 2]"
29,26,ADAM,"[35, 30, 20, 10, 5, 2]"
30,19,ADAM,"[35, 30, 20, 10, 5, 2]"
31,23,ADAM,"[35, 30, 20, 10, 5, 2]"
32,24,ADAM,"[35, 30, 20, 10, 5, 2]"
33,21,ADAM,"[35, 30, 20, 10, 5, 2]"
34,23,ADAM,"[35, 30, 20, 10, 5, 2]"
35,24,ADAM,"[35, 30, 20, 10, 5, 2]"
36,22,ADAM,"[35, 30, 20, 10, 5, 2]"
37,23,ADAM,"[35, 30, 20, 10, 5, 2]"
38,24,ADAM,"[35, 30, 20, 10, 5, 2]"
39,21,ADAM,"[35, 30, 20, 10, 5, 2]"
40,22,ADAM,"[35, 30, 20, 10, 5, 2]"
41,25,ADAM,"[35, 30, 20, 10, 5, 2]"
42,23,ADAM,"[35, 30, 20, 10, 5, 2]"
43,20,ADAM,"[35, 30, 20, 10, 5, 2]"
44,18,ADAM,"[35, 30, 20, 10, 5, 2]"
45,18,ADAM,"[35, 30, 20, 10, 5, 2]"
46,24,ADAM,"[35, 30, 20, 10, 5, 2]"
47,22,ADAM,"[35, 30, 20, 10, 5, 2]"
48,22,ADAM,"[35, 30, 20, 10, 5, 2]"
49,22,ADAM,"[35, 30, 20, 10, 5, 2]"
50,23,ADAM,"[35, 30, 20, 10, 5, 2]"
51,22,ADAM,"[35, 30, 20, 10, 5, 2]"
52,20,ADAM,"[35, 30, 20, 10, 5, 2]"
53,23,ADAM,"[35, 30, 20, 10, 5, 2]"
54,24,ADAM,"[35, 30, 20, 10, 5, 2]"
55,22,ADAM,"[35, 30, 20, 10, 5, 2]"
56,21,ADAM,"[35, 30, 20, 10, 5, 2]"
57,21,ADAM,"[35, 30, 20, 10, 5, 2]"
58,20,ADAM,"[35, 30, 20, 10, 5, 2]"
59,20,ADAM,"[35, 30, 20, 10, 5, 2]"
60,22,ADAM,"[35, 30, 20, 10, 5, 2]"
61,23,ADAM,"[35, 30, 20, 10, 5, 2]"
62,21,ADAM,"[35, 30, 20, 10, 5, 2]"
63,18,ADAM,"[35, 30, 20, 10, 5, 2]"
64,20,ADAM,"[35, 30, 20, 10, 5, 2]"
65,20,ADAM,"[35, 30, 20, 10, 5, 2]"
66,21,ADAM,"[35, 30, 20, 10, 5, 2]"
67,22,ADAM,"[35, 30, 20, 10, 5, 2]"
68,21,ADAM,"[35, 30, 20, 10, 5, 2]"
69,20,ADAM,"[35, 30, 20, 10, 5, 2]"
70,22,ADAM,"[35, 30, 20, 10, 5, 2]"
71,21,ADAM,"[35, 30, 20, 10, 5, 2]"
72,21,ADAM,"[35, 30, 20, 10, 5, 2]"
73,23,ADAM,"[35, 30, 20, 10, 5, 2]"
74,22,ADAM,"[35, 30, 20, 10, 5, 2]"
75,21,ADAM,"[35, 30, 20, 10, 5, 2]"
76,26,ADAM,"[35, 30, 20, 10, 5, 2]"
77,19,ADAM,"[35, 30, 20, 10, 5, 2]"
78,21,ADAM,"[35, 30, 20, 10, 5, 2]"
79,24,ADAM,"[35, 30, 20, 10, 5, 2]"
80,21,ADAM,"[35, 30, 20, 10, 5, 2]"
81,23,ADAM,"[35, 30, 20, 10, 5, 2]"
82,22,ADAM,"[35, 30, 20, 10, 5, 2]"
83,22,ADAM,"[35, 30, 20, 10, 5, 2]"
84,21,ADAM,"[35, 30, 20, 10, 5, 2]"
85,23,ADAM,"[35, 30, 20, 10, 5, 2]"
86,19,ADAM,"[35, 30, 20, 10, 5, 2]"
87,19,ADAM,"[35, 30, 20, 10, 5, 2]"
88,22,ADAM,"[35, 30, 20, 10, 5, 2]"
89,21,ADAM,"[35, 30, 20, 10, 5, 2]"
90,20,ADAM,"[35, 30, 20, 10, 5, 2]"
91,18,ADAM,"[35, 30, 20, 10, 5, 2]"
92,21,ADAM,"[35, 30, 20, 10, 5, 2]"
93,21,ADAM,"[35, 30, 20, 10, 5, 2]"
94,19,ADAM,"[35, 30, 20, 10, 5, 2]"
95,20,ADAM,"[35, 30, 20, 10, 5, 2]"
96,22,ADAM,"[35, 30, 20, 10, 5, 2]"
97,19,ADAM,"[35, 30, 20, 10, 5, 2]"
98,18,ADAM,"[35, 30, 20, 10, 5, 2]"
99,20,ADAM,"[35, 30, 20, 10, 5, 2]"
100,19,ADAM,"[35, 30, 20, 10, 5, 2]"
101,19,ADAM,"[35, 30, 20, 10, 5, 2]"
102,20,ADAM,"[35, 30, 20, 10, 5, 2]"
103,17,ADAM,"[35, 30, 20, 10, 5, 2]"
104,19,ADAM,"[35, 30, 20, 10, 5, 2]"
105,22,ADAM,"[35, 30, 20, 10, 5, 2]"
106,24,ADAM,"[35, 30, 20, 10, 5, 2]"
107,18,ADAM,"[35, 30, 20, 10, 5, 2]"
108,19,ADAM,"[35, 30, 20, 10, 5, 2]"
109,23,ADAM,"[35, 30, 20, 10, 5, 2]"
110,19,ADAM,"[35, 30, 20, 10, 5, 2]"
111,18,ADAM,"[35, 30, 20, 10, 5, 2]"
112,20,ADAM,"[35, 30, 20, 10, 5, 2]"
113,23,ADAM,"[35, 30, 20, 10, 5, 2]"
114,18,ADAM,"[35, 30, 20, 10, 5, 2]"
115,19,ADAM,"[35, 30, 20, 10, 5, 2]"
116,20,ADAM,"[35, 30, 20, 10, 5, 2]"
117,18,ADAM,"[35, 30, 20, 10, 5, 2]"
118,18,ADAM,"[35, 30, 20, 10, 5, 2]"
119,19,ADAM,"[35, 30, 20, 10, 5, 2]"
120,20,ADAM,"[35, 30, 20, 10, 5, 2]"
121,20,ADAM,"[35, 30, 20, 10, 5, 2]"
122,20,ADAM,"[35, 30, 20, 10, 5, 2]"
123,21,ADAM,"[35, 30, 20, 10, 5, 2]"
124,21,ADAM,"[35, 30, 20, 10, 5, 2]"
125,19,ADAM,"[35, 30, 20, 10, 5, 2]"
126,19,ADAM,"[35, 30, 20, 10, 5, 2]"
127,20,ADAM,"[35, 30, 20, 10, 5, 2]"
128,19,ADAM,"[35, 30, 20, 10, 5, 2]"
129,21,ADAM,"[35, 30, 20, 10, 5, 2]"
130,22,ADAM,"[35, 30, 20, 10, 5, 2]"
131,21,ADAM,"[35, 30, 20, 10, 5, 2]"
132,20,ADAM,"[35, 30, 20, 10, 5, 2]"
133,19,ADAM,"[35, 30, 20, 10, 5, 2]"
134,20,ADAM,"[35, 30, 20, 10, 5, 2]"
135,19,ADAM,"[35, 30, 20, 10, 5, 2]"
136,18,ADAM,"[35, 30, 20, 10, 5, 2]"
137,20,ADAM,"[35, 30, 20, 10, 5, 2]"
138,20,ADAM,"[35, 30, 20, 10, 5, 2]"
139,21,ADAM,"[35, 30, 20, 10, 5, 2]"
140,20,ADAM,"[35, 30, 20, 10, 5, 2]"
141,20,ADAM,"[35, 30, 20, 10, 5, 2]"
142,18,ADAM,"[35, 30, 20, 10, 5, 2]"
143,19,ADAM,"[35, 30, 20, 10, 5, 2]"
144,19,ADAM,"[35, 30, 20, 10, 5, 2]"
145,19,ADAM,"[35, 30, 20, 10, 5, 2]"
146,19,ADAM,"[35, 30, 20, 10, 5, 2]"
147,18,ADAM,"[35, 30, 20, 10, 5, 2]"
148,19,ADAM,"[35, 30, 20, 10, 5, 2]"
149,18,ADAM,"[35, 30, 20, 10, 5, 2]"
150,17,ADAM,"[35, 30, 20, 10, 5, 2]"
151,19,ADAM,"[35, 30, 20, 10, 5, 2]"
152,21,ADAM,"[35, 30, 20, 10, 5, 2]"
153,17,ADAM,"[35, 30, 20, 10, 5, 2]"
154,14,ADAM,"[35, 30, 20, 10, 5, 2]"
155,19,ADAM,"[35, 30, 20, 10, 5, 2]"
156,17,ADAM,"[35, 30, 20, 10, 5, 2]"
157,15,ADAM,"[35, 30, 20, 10, 5, 2]"
158,15,ADAM,"[35, 30, 20, 10, 5, 2]"
159,18,ADAM,"[35, 30, 20, 10, 5, 2]"
160,20,ADAM,"[35, 30, 20, 10, 5, 2]"
161,17,ADAM,"[35, 30, 20, 10, 5, 2]"
162,17,ADAM,"[35, 30, 20, 10, 5, 2]"
163,17,ADAM,"[35, 30, 20, 10, 5, 2]"
164,17,ADAM,"[35, 30, 20, 10, 5, 2]"
165,15,ADAM,"[35, 30, 20, 10, 5, 2]"
166,14,ADAM,"[35, 30, 20, 10, 5, 2]"
167,19,ADAM,"[35, 30, 20, 10, 5, 2]"
168,15,ADAM,"[35, 30, 20, 10, 5, 2]"
169,15,ADAM,"[35, 30, 20, 10, 5, 2]"
170,14,ADAM,"[35, 30, 20, 10, 5, 2]"
171,15,ADAM,"[35, 30, 20, 10, 5, 2]"
172,12,ADAM,"[35, 30, 20, 10, 5, 2]"
173,14,ADAM,"[35, 30, 20, 10, 5, 2]"
174,15,ADAM,"[35, 30, 20, 10, 5, 2]"
175,19,ADAM,"[35, 30, 20, 10, 5, 2]"
176,15,ADAM,"[35, 30, 20, 10, 5, 2]"
177,16,ADAM,"[35, 30, 20, 10, 5, 2]"
178,16,ADAM,"[35, 30, 20, 10, 5, 2]"
179,16,ADAM,"[35, 30, 20, 10, 5, 2]"
180,13,ADAM,"[35, 30, 20, 10, 5, 2]"
181,17,ADAM,"[35, 30, 20, 10, 5, 2]"
182,16,ADAM,"[35, 30, 20, 10, 5, 2]"
183,14,ADAM,"[35, 30, 20, 10, 5, 2]"
184,12,ADAM,"[35, 30, 20, 10, 5, 2]"
185,13,ADAM,"[35, 30, 20, 10, 5, 2]"
186,17,ADAM,"[35, 30, 20, 10, 5, 2]"
187,18,ADAM,"[35, 30, 20, 10, 5, 2]"
188,15,ADAM,"[35, 30, 20, 10, 5, 2]"
189,16,ADAM,"[35, 30, 20, 10, 5, 2]"
190,15,ADAM,"[35, 30, 20, 10, 5, 2]"
191,14,ADAM,"[35, 30, 20, 10, 5, 2]"
192,14,ADAM,"[35, 30, 20, 10, 5, 2]"
193,14,ADAM,"[35, 30, 20, 10, 5, 2]"
194,13,ADAM,"[35, 30, 20, 10, 5, 2]"
195,13,ADAM,"[35, 30, 20, 10, 5, 2]"
196,14,ADAM,"[35, 30, 20, 10, 5, 2]"
197,12,ADAM,"[35, 30, 20, 10, 5, 2]"
198,15,ADAM,"[35, 30, 20, 10, 5, 2]"
199,13,ADAM,"[35, 30, 20, 10, 5, 2]"
200,15,ADAM,"[35, 30, 20, 10, 5, 2]"
201,13,ADAM,"[35, 30, 20, 10, 5, 2]"
202,12,ADAM,"[35, 30, 20, 10, 5, 2]"
203,12,ADAM,"[35, 30, 20, 10, 5, 2]"
204,13,ADAM,"[35, 30, 20, 10, 5, 2]"
205,15,ADAM,"[35, 30, 20, 10, 5, 2]"
206,15,ADAM,"[35, 30, 20, 10, 5, 2]"
207,16,ADAM,"[35, 30, 20, 10, 5, 2]"
208,14,ADAM,"[35, 30, 20, 10, 5, 2]"
209,15,ADAM,"[35, 30, 20, 10, 5, 2]"
210,12,ADAM,"[35, 30, 20, 10, 5, 2]"
211,14,ADAM,"[35, 30, 20, 10, 5, 2]"
212,14,ADAM,"[35, 30, 20, 10, 5, 2]"
213,15,ADAM,"[35, 30, 20, 10, 5, 2]"
214,15,ADAM,"[35, 30, 20, 10, 5, 2]"
